id,m2_construit,nb_pieces,nb_sdb,nb_etages,prix_achat,prix_achat_m2,type_maison,travaux_necessaire,annee_construction,ascenseur,jardin,piscine,terrace,balcon,salle_rangement,espace_vert,parking,num_quartier
21674,109,3,2,0,219775,2016,appartement,0,2077.0,1,0,1,1,0,1,0,1,21
21673,108,3,2,0,230817,2137,appartement,0,2077.0,1,0,1,1,0,1,0,1,21
21672,108,3,2,0,213722,1979,appartement,0,2077.0,1,0,1,1,0,1,0,1,21
21671,111,2,2,0,230749,2079,penthouse,0,2077.0,1,0,1,1,0,1,0,1,21
21670,115,3,2,0,233789,2033,appartement,0,2077.0,1,0,1,0,0,1,0,1,21
21669,115,3,2,0,230789,2007,appartement,0,2077.0,1,0,1,0,0,1,0,1,21
21668,117,3,2,0,244171,2087,appartement,0,2077.0,1,0,1,1,0,1,0,1,21
21667,117,3,2,0,243468,2081,appartement,0,2077.0,1,0,1,1,0,1,0,1,21
21666,117,3,2,0,244798,2092,appartement,0,2077.0,1,0,1,1,0,1,0,1,21
21665,118,3,2,0,219235,1858,appartement,0,2077.0,1,0,1,0,0,1,0,1,21
21664,115,3,2,0,242789,2111,appartement,0,2077.0,1,0,1,0,0,1,0,1,21
21663,97,4,1,0,130000,1340,appartement,0,1970.0,1,0,0,0,0,0,0,0,21
21662,106,3,2,0,251569,2373,appartement,0,2077.0,1,0,1,1,0,0,1,0,21
21661,103,3,2,0,235402,2285,appartement,0,2077.0,1,0,1,1,0,0,1,0,21
21660,103,3,2,0,235172,2283,appartement,0,2077.0,1,0,1,1,0,0,1,0,21
21659,103,3,2,0,236227,2293,appartement,0,2077.0,1,0,1,1,0,0,1,0,21
21658,114,3,2,0,254710,2234,appartement,0,2077.0,1,0,1,1,0,0,1,0,21
21657,150,2,1,2,159000,1060,maison,1,1993.0,0,0,0,1,0,1,0,1,21
21656,140,3,3,0,272500,1946,duplex,0,2004.0,1,0,1,1,0,1,1,0,21
21655,58,3,1,0,85000,1466,appartement,0,1951.0,1,0,0,0,0,0,0,0,21
21654,65,3,1,0,94000,1446,appartement,0,2077.0,1,0,0,1,0,0,0,0,21
21653,110,4,2,0,175000,1591,appartement,0,1978.0,1,0,0,1,1,0,0,0,21
21652,173,4,2,0,268000,1549,appartement,0,2003.0,1,0,1,0,0,1,0,1,21
21651,75,2,1,0,156000,2080,penthouse,0,2077.0,1,0,0,1,0,1,0,0,21
21650,90,1,1,0,183159,2035,penthouse,0,2077.0,1,0,1,1,0,1,0,1,21
21649,125,3,2,0,210000,1680,appartement,0,1996.0,1,0,0,0,0,1,0,1,21
21648,58,2,1,0,85000,1466,appartement,0,1968.0,1,0,0,0,0,0,0,0,21
21647,92,3,1,0,159900,1738,appartement,0,1962.0,1,0,0,1,0,0,0,0,21
